PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202605,02 HOME LINE,0210 HOUSEWARE,604960.67,7596.0,616000.46,7733.0
202606,04 DRY FOOD,0480 PETS,129105.63,2206.0,166831.69,2985.0
202607,04 DRY FOOD,0470 HOUSEHOLD,37012.62,540.0,43301.86,743.0
202601,03 SOFT LINE,0380 CHILDREN,74342.05,723.0,158817.78,1243.0
202607,01 HARD LINE,0112 MAJOR APPLIANCE,0.0,0.0,9330.84,2.0
202607,04 DRY FOOD,0460 HBA,0.0,0.0,0.0,0.0
202604,04 DRY FOOD,0430 SALTED GROCERY,2320694.22,48698.0,2501130.53,49680.0
202602,03 SOFT LINE,0310 LADIES APPAREL,54477.56,171.0,25989.27,157.0
202605,05 FRESH FOOD,0550 BAKERY,228724.96,10400.0,158327.1,7467.0
202601,02 HOME LINE,0230 RECREATION,236987.8,1113.0,259440.15,886.0
202607,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202604,04 DRY FOOD,0422 SWEETED GROCE.2_SME,3863.08,121.0,2583.17,80.0
202605,04 DRY FOOD,0420 SWEETED GROCE.2,15175.7,332.0,14752.35,392.0
202603,05 FRESH FOOD,0540 DELICATESSEN,2161.68,99.0,2407.47,119.0
202605,06 PHARMACY,0630 WELL BEING,1179.44,23.0,921.5,9.0
202602,04 DRY FOOD,0470 HOUSEHOLD,1824.3,21.0,1897.19,9.0
202606,04 DRY FOOD,0450 LIQUOR,656211.7,2907.0,4001771.29,6551.0
202604,04 DRY FOOD,0432 SALTED GROCERY_SME,6342.97,229.0,6416.81,204.0
202603,01 HARD LINE,0120 HOME ENTERTAIN,387041.13,103.0,546267.57,151.0
202607,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,0.0,0.0
202601,04 DRY FOOD,0430 SALTED GROCERY,4901.87,52.0,10508.41,106.0
202605,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
202601,03 SOFT LINE,0312 LADIES ACCESSORIES,26414.94,188.0,36457.93,305.0
202606,04 DRY FOOD,0440 BEVERAGE,2555.14,59.0,2155.14,51.0
202605,03 SOFT LINE,0320 MEN'S APPAREL,137740.16,417.0,48654.17,270.0
202606,04 DRY FOOD,0432 SALTED GROCERY_SME,4240.18,155.0,6313.07,214.0
202602,04 DRY FOOD,0490 TOBACCO,0.0,0.0,1523014.02,2500.0
202607,04 DRY FOOD,0420 SWEETED GROCE.2,479.44,11.0,228.97,5.0
202605,05 FRESH FOOD,0540 DELICATESSEN,2288.78,95.0,1119.63,52.0
202607,06 PHARMACY,0630 WELL BEING,0.0,0.0,0.0,0.0
202604,04 DRY FOOD,0470 HOUSEHOLD,926.17,14.0,3671.03,31.0
202603,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,18.69,1.0
202601,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
